Category,Message
0,"['[', ""'go"", ""'"", ',', ""'until"", ""'"", ',', ""'jurong"", ""'"", ',', ""'point"", ""'"", ',', ""'crazi"", ""'"", ',', ""'avail"", ""'"", ',', ""'onli"", ""'"", ',', ""'in"", ""'"", ',', ""'bugi"", ""'"", ',', ""'n"", ""'"", ',', ""'great"", ""'"", ',', ""'world"", ""'"", ',', ""'la"", ""'"", ',', ""'"", 'e', ""'"", ',', ""'buffet"", ""'"", ',', ""'cine"", ""'"", ',', ""'there"", ""'"", ',', ""'got"", ""'"", ',', ""'amor"", ""'"", ',', ""'wat"", ""'"", ']']"
0,"['[', ""'ok"", ""'"", ',', ""'lar"", ""'"", ',', ""'joke"", ""'"", ',', ""'wif"", ""'"", ',', ""'"", 'u', ""'"", ',', ""'oni"", ""'"", ']']"
1,"['[', ""'free"", ""'"", ',', ""'entri"", ""'"", ',', ""'in"", ""'"", ',', ""'"", '2', ""'"", ',', ""'"", ""'"", ',', ""'wkli"", ""'"", ',', ""'comp"", ""'"", ',', ""'to"", ""'"", ',', ""'win"", ""'"", ',', ""'fa"", ""'"", ',', ""'cup"", ""'"", ',', ""'final"", ""'"", ',', ""'tkt"", ""'"", ',', ""'21st"", ""'"", ',', ""'may"", ""'"", ',', ""'2005"", ""'"", ',', ""'text"", ""'"", ',', ""'fa"", ""'"", ',', ""'to"", ""'"", ',', ""'87121"", ""'"", ',', ""'to"", ""'"", ',', ""'receiv"", ""'"", ',', ""'entri"", ""'"", ',', ""'questionstd"", ""'"", ',', ""'txt"", ""'"", ',', ""'ratetc"", ""'"", ',', ""'appli"", ""'"", ',', ""'08452810075over18"", ""'"", ']']"
0,"['[', ""'"", 'u', ""'"", ',', ""'dun"", ""'"", ',', ""'say"", ""'"", ',', ""'so"", ""'"", ',', ""'earli"", ""'"", ',', ""'hor"", ""'"", ',', ""'"", 'u', ""'"", ',', ""'"", 'c', ""'"", ',', ""'alreadi"", ""'"", ',', ""'then"", ""'"", ',', ""'say"", ""'"", ']']"
0,"['[', ""'nah"", ""'"", ',', ""'"", ""'"", ',', ""'dont"", ""'"", ',', ""'think"", ""'"", ',', ""'he"", ""'"", ',', ""'goe"", ""'"", ',', ""'to"", ""'"", ',', ""'usf"", ""'"", ',', ""'he"", ""'"", ',', ""'live"", ""'"", ',', ""'around"", ""'"", ',', ""'here"", ""'"", ',', ""'though"", ""'"", ']']"
1,"['[', ""'freemsg"", ""'"", ',', ""'hey"", ""'"", ',', ""'there"", ""'"", ',', ""'darl"", ""'"", ',', ""'it"", ""'"", ',', ""'been"", ""'"", ',', ""'"", '3', ""'"", ',', ""'week"", ""'"", ',', ""'now"", ""'"", ',', ""'and"", ""'"", ',', ""'no"", ""'"", ',', ""'word"", ""'"", ',', ""'back"", ""'"", ',', ""'id"", ""'"", ',', ""'like"", ""'"", ',', ""'some"", ""'"", ',', ""'fun"", ""'"", ',', ""'you"", ""'"", ',', ""'up"", ""'"", ',', ""'for"", ""'"", ',', ""'it"", ""'"", ',', ""'still"", ""'"", ',', ""'tb"", ""'"", ',', ""'ok"", ""'"", ',', ""'xxx"", ""'"", ',', ""'std"", ""'"", ',', ""'chg"", ""'"", ',', ""'to"", ""'"", ',', ""'send"", ""'"", ',', ""'150"", ""'"", ',', ""'to"", ""'"", ',', ""'rcv"", ""'"", ']']"
0,"['[', ""'even"", ""'"", ',', ""'mi"", ""'"", ',', ""'brother"", ""'"", ',', ""'i"", ""'"", ',', ""'not"", ""'"", ',', ""'like"", ""'"", ',', ""'to"", ""'"", ',', ""'speak"", ""'"", ',', ""'with"", ""'"", ',', ""'me"", ""'"", ',', ""'they"", ""'"", ',', ""'treat"", ""'"", ',', ""'me"", ""'"", ',', ""'like"", ""'"", ',', ""'aid"", ""'"", ',', ""'patent"", ""'"", ']']"
0,"['[', ""'a"", ""'"", ',', ""'per"", ""'"", ',', ""'your"", ""'"", ',', ""'request"", ""'"", ',', ""'mell"", ""'"", ',', ""'mell"", ""'"", ',', ""'oru"", ""'"", ',', ""'minnaminungint"", ""'"", ',', ""'nurungu"", ""'"", ',', ""'vettam"", ""'"", ',', ""'ha"", ""'"", ',', ""'been"", ""'"", ',', ""'set"", ""'"", ',', ""'a"", ""'"", ',', ""'your"", ""'"", ',', ""'callertun"", ""'"", ',', ""'for"", ""'"", ',', ""'all"", ""'"", ',', ""'caller"", ""'"", ',', ""'press"", ""'"", ',', ""'"", '9', ""'"", ',', ""'to"", ""'"", ',', ""'copi"", ""'"", ',', ""'your"", ""'"", ',', ""'friend"", ""'"", ',', ""'callertun"", ""'"", ']']"
1,"['[', ""'winner"", ""'"", ',', ""'a"", ""'"", ',', ""'"", ""'"", ',', ""'valu"", ""'"", ',', ""'network"", ""'"", ',', ""'custom"", ""'"", ',', ""'you"", ""'"", ',', ""'have"", ""'"", ',', ""'been"", ""'"", ',', ""'select"", ""'"", ',', ""'to"", ""'"", ',', ""'receivea"", ""'"", ',', ""'900"", ""'"", ',', ""'prize"", ""'"", ',', ""'reward"", ""'"", ',', ""'to"", ""'"", ',', ""'claim"", ""'"", ',', ""'call"", ""'"", ',', ""'09061701461"", ""'"", ',', ""'claim"", ""'"", ',', ""'code"", ""'"", ',', ""'kl341"", ""'"", ',', ""'valid"", ""'"", ',', ""'12"", ""'"", ',', ""'hour"", ""'"", ',', ""'onli"", ""'"", ']']"
1,"['[', ""'had"", ""'"", ',', ""'your"", ""'"", ',', ""'mobil"", ""'"", ',', ""'11"", ""'"", ',', ""'month"", ""'"", ',', ""'or"", ""'"", ',', ""'more"", ""'"", ',', ""'"", 'u', ""'"", ',', ""'"", 'r', ""'"", ',', ""'entitl"", ""'"", ',', ""'to"", ""'"", ',', ""'updat"", ""'"", ',', ""'to"", ""'"", ',', ""'the"", ""'"", ',', ""'latest"", ""'"", ',', ""'colour"", ""'"", ',', ""'mobil"", ""'"", ',', ""'with"", ""'"", ',', ""'camera"", ""'"", ',', ""'for"", ""'"", ',', ""'free"", ""'"", ',', ""'call"", ""'"", ',', ""'the"", ""'"", ',', ""'mobil"", ""'"", ',', ""'updat"", ""'"", ',', ""'co"", ""'"", ',', ""'free"", ""'"", ',', ""'on"", ""'"", ',', ""'08002986030"", ""'"", ']']"
