Category,Message
0,"['[', ""'"", 'g', ""'"", ',', ' ', ""'"", 'u', 'n', 'l', ""'"", ',', ' ', ""'"", 'j', 'u', 'r', 'n', 'g', ""'"", ',', ' ', ""'"", 'p', 'n', ""'"", ',', ' ', ""'"", 'c', 'r', 'z', ""'"", ',', ' ', ""'"", 'v', 'l', 'b', 'l', 'e', ""'"", ',', ' ', ""'"", 'n', 'l', ""'"", ',', ' ', ""'"", 'n', ""'"", ',', ' ', ""'"", 'b', 'u', 'g', ""'"", ',', ' ', ""'"", 'n', ""'"", ',', ' ', ""'"", 'g', 'r', 'e', ""'"", ',', ' ', ""'"", 'w', 'r', 'l', ""'"", ',', ' ', ""'"", 'l', ""'"", ',', ' ', ""'"", 'e', ""'"", ',', ' ', ""'"", 'b', 'u', 'f', 'f', 'e', ""'"", ',', ' ', ""'"", 'c', 'n', 'e', ""'"", ',', ' ', ""'"", 'h', 'e', 'r', 'e', ""'"", ',', ' ', ""'"", 'g', ""'"", ',', ' ', ""'"", 'r', 'e', ""'"", ',', ' ', ""'"", 'w', ""'"", ']']"
0,"['[', ""'"", 'k', ""'"", ',', ' ', ""'"", 'l', 'r', ""'"", ',', ' ', ""'"", 'j', 'k', 'n', 'g', ""'"", ',', ' ', ""'"", 'w', 'f', ""'"", ',', ' ', ""'"", 'u', ""'"", ',', ' ', ""'"", 'n', ""'"", ']']"
1,"['[', ""'"", 'f', 'r', 'e', 'e', ""'"", ',', ' ', ""'"", 'e', 'n', 'r', ""'"", ',', ' ', ""'"", 'n', ""'"", ',', ' ', ""'"", '2', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'w', 'k', 'l', ""'"", ',', ' ', ""'"", 'c', 'p', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'w', 'n', ""'"", ',', ' ', ""'"", 'f', ""'"", ',', ' ', ""'"", 'c', 'u', 'p', ""'"", ',', ' ', ""'"", 'f', 'n', 'l', ""'"", ',', ' ', ""'"", 'k', ""'"", ',', ' ', ""'"", '2', '1', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", '2', '0', '0', '5', ""'"", ',', ' ', ""'"", 'e', 'x', ""'"", ',', ' ', ""'"", 'f', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", '8', '7', '1', '2', '1', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'r', 'e', 'c', 'e', 'v', 'e', ""'"", ',', ' ', ""'"", 'e', 'n', 'r', ""'"", ',', ' ', ""'"", 'q', 'u', 'e', 'n', ""'"", ',', ' ', ""'"", 'x', ""'"", ',', ' ', ""'"", 'r', 'e', 'c', ""'"", ',', ' ', ""'"", 'p', 'p', 'l', ""'"", ',', ' ', ""'"", '0', '8', '4', '5', '2', '8', '1', '0', '0', '7', '5', 'v', 'e', 'r', '1', '8', ""'"", ']']"
0,"['[', ""'"", 'u', ""'"", ',', ' ', ""'"", 'u', 'n', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'e', 'r', 'l', ""'"", ',', ' ', ""'"", 'h', 'r', ""'"", ',', ' ', ""'"", 'u', ""'"", ',', ' ', ""'"", 'c', ""'"", ',', ' ', ""'"", 'l', 'r', 'e', ""'"", ',', ' ', ""'"", 'h', 'e', 'n', ""'"", ',', ' ', ""'"", ""'"", ']']"
0,"['[', ""'"", 'n', 'h', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'n', ""'"", ',', ' ', ""'"", 'h', 'n', 'k', ""'"", ',', ' ', ""'"", 'h', 'e', ""'"", ',', ' ', ""'"", 'g', 'e', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'u', 'f', ""'"", ',', ' ', ""'"", 'h', 'e', ""'"", ',', ' ', ""'"", 'l', 'v', 'e', ""'"", ',', ' ', ""'"", 'r', 'u', 'n', ""'"", ',', ' ', ""'"", 'h', 'e', 'r', 'e', ""'"", ',', ' ', ""'"", 'h', 'u', 'g', 'h', ""'"", ']']"
1,"['[', ""'"", 'f', 'r', 'e', 'e', 'g', ""'"", ',', ' ', ""'"", 'h', 'e', ""'"", ',', ' ', ""'"", 'h', 'e', 'r', 'e', ""'"", ',', ' ', ""'"", 'r', 'l', 'n', 'g', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'b', 'e', 'e', 'n', ""'"", ',', ' ', ""'"", '3', ""'"", ',', ' ', ""'"", 'w', 'e', 'e', 'k', ""'"", ',', ' ', ""'"", 'n', 'w', ""'"", ',', ' ', ""'"", 'n', ""'"", ',', ' ', ""'"", 'n', ""'"", ',', ' ', ""'"", 'w', 'r', ""'"", ',', ' ', ""'"", 'b', 'c', 'k', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'l', 'k', 'e', ""'"", ',', ' ', ""'"", 'e', ""'"", ',', ' ', ""'"", 'f', 'u', 'n', ""'"", ',', ' ', ""'"", 'u', ""'"", ',', ' ', ""'"", 'u', 'p', ""'"", ',', ' ', ""'"", 'f', 'r', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'l', 'l', ""'"", ',', ' ', ""'"", 'b', ""'"", ',', ' ', ""'"", 'k', ""'"", ',', ' ', ""'"", 'x', 'x', 'x', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'c', 'h', 'g', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'e', 'n', ""'"", ',', ' ', ""'"", '£', '1', '5', '0', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'r', 'c', 'v', ""'"", ']']"
0,"['[', ""'"", 'e', 'v', 'e', 'n', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'b', 'r', 'h', 'e', 'r', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'n', ""'"", ',', ' ', ""'"", 'l', 'k', 'e', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'p', 'e', 'k', ""'"", ',', ' ', ""'"", 'w', 'h', ""'"", ',', ' ', ""'"", 'e', ""'"", ',', ' ', ""'"", 'h', 'e', ""'"", ',', ' ', ""'"", 'r', 'e', ""'"", ',', ' ', ""'"", 'e', ""'"", ',', ' ', ""'"", 'l', 'k', 'e', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'p', 'e', 'n', ""'"", ']']"
0,"['[', ""'"", ""'"", ',', ' ', ""'"", 'p', 'e', 'r', ""'"", ',', ' ', ""'"", 'u', 'r', ""'"", ',', ' ', ""'"", 'r', 'e', 'q', 'u', 'e', ""'"", ',', ' ', ""'"", 'e', 'l', 'l', 'e', ""'"", ',', ' ', ""'"", 'e', 'l', 'l', 'e', ""'"", ',', ' ', ""'"", 'r', 'u', ""'"", ',', ' ', ""'"", 'n', 'n', 'n', 'u', 'n', 'g', 'n', 'e', ""'"", ',', ' ', ""'"", 'n', 'u', 'r', 'u', 'n', 'g', 'u', ""'"", ',', ' ', ""'"", 'v', 'e', ""'"", ',', ' ', ""'"", 'h', ""'"", ',', ' ', ""'"", 'b', 'e', 'e', 'n', ""'"", ',', ' ', ""'"", 'e', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'u', 'r', ""'"", ',', ' ', ""'"", 'c', 'l', 'l', 'e', 'r', 'u', 'n', 'e', ""'"", ',', ' ', ""'"", 'f', 'r', ""'"", ',', ' ', ""'"", 'l', 'l', ""'"", ',', ' ', ""'"", 'c', 'l', 'l', 'e', 'r', ""'"", ',', ' ', ""'"", 'p', 'r', 'e', ""'"", ',', ' ', ""'"", '9', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'c', 'p', ""'"", ',', ' ', ""'"", 'u', 'r', ""'"", ',', ' ', ""'"", 'f', 'r', 'e', 'n', ""'"", ',', ' ', ""'"", 'c', 'l', 'l', 'e', 'r', 'u', 'n', 'e', ""'"", ']']"
1,"['[', ""'"", 'w', 'n', 'n', 'e', 'r', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'v', 'l', 'u', 'e', ""'"", ',', ' ', ""'"", 'n', 'e', 'w', 'r', 'k', ""'"", ',', ' ', ""'"", 'c', 'u', 'e', 'r', ""'"", ',', ' ', ""'"", 'u', ""'"", ',', ' ', ""'"", 'h', 'v', 'e', ""'"", ',', ' ', ""'"", 'b', 'e', 'e', 'n', ""'"", ',', ' ', ""'"", 'e', 'l', 'e', 'c', 'e', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'r', 'e', 'c', 'e', 'v', 'e', ""'"", ',', ' ', ""'"", '£', '9', '0', '0', ""'"", ',', ' ', ""'"", 'p', 'r', 'z', 'e', ""'"", ',', ' ', ""'"", 'r', 'e', 'w', 'r', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'c', 'l', ""'"", ',', ' ', ""'"", 'c', 'l', 'l', ""'"", ',', ' ', ""'"", '0', '9', '0', '6', '1', '7', '0', '1', '4', '6', '1', ""'"", ',', ' ', ""'"", 'c', 'l', ""'"", ',', ' ', ""'"", 'c', 'e', ""'"", ',', ' ', ""'"", 'k', 'l', '3', '4', '1', ""'"", ',', ' ', ""'"", 'v', 'l', ""'"", ',', ' ', ""'"", '1', '2', ""'"", ',', ' ', ""'"", 'h', 'u', 'r', ""'"", ',', ' ', ""'"", 'n', 'l', ""'"", ']']"
1,"['[', ""'"", 'h', ""'"", ',', ' ', ""'"", 'u', 'r', ""'"", ',', ' ', ""'"", 'b', 'l', 'e', ""'"", ',', ' ', ""'"", '1', '1', ""'"", ',', ' ', ""'"", 'n', 'h', ""'"", ',', ' ', ""'"", 'r', ""'"", ',', ' ', ""'"", 'r', 'e', ""'"", ',', ' ', ""'"", 'u', ""'"", ',', ' ', ""'"", 'r', ""'"", ',', ' ', ""'"", 'e', 'n', 'l', 'e', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'u', 'p', 'e', ""'"", ',', ' ', ""'"", ""'"", ',', ' ', ""'"", 'h', 'e', ""'"", ',', ' ', ""'"", 'l', 'e', ""'"", ',', ' ', ""'"", 'c', 'l', 'u', 'r', ""'"", ',', ' ', ""'"", 'b', 'l', 'e', ""'"", ',', ' ', ""'"", 'w', 'h', ""'"", ',', ' ', ""'"", 'c', 'e', 'r', ""'"", ',', ' ', ""'"", 'f', 'r', ""'"", ',', ' ', ""'"", 'f', 'r', 'e', 'e', ""'"", ',', ' ', ""'"", 'c', 'l', 'l', ""'"", ',', ' ', ""'"", 'h', 'e', ""'"", ',', ' ', ""'"", 'b', 'l', 'e', ""'"", ',', ' ', ""'"", 'u', 'p', 'e', ""'"", ',', ' ', ""'"", 'c', ""'"", ',', ' ', ""'"", 'f', 'r', 'e', 'e', ""'"", ',', ' ', ""'"", 'n', ""'"", ',', ' ', ""'"", '0', '8', '0', '0', '2', '9', '8', '6', '0', '3', '0', ""'"", ']']"
